track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature,tempo
brownr-rayoflight-jamalanashl-1994-6624a2f4,/scratch/rht9410/jtd_data/brownr-rayoflight-jamalanashl-1994-6624a2f4.wav,283,283,70,70,0.184,ok,1.0,0.9751087278518168,1.0,1.0,,,,,0.6310880141351052,1.0,0.9765628911668228,1.0,1.0,,,,,0.9271211683103316,4,207.3927376497608
brownr-satindoll-samplejmannes-1975-32107f71,/scratch/rht9410/jtd_data/brownr-satindoll-samplejmannes-1975-32107f71.wav,128,128,32,32,0.149,ok,1.0,0.9008244996497776,1.0,1.0,,,,,0.6560908799031394,1.0,0.8856752344842055,1.0,1.0,,,,,0.8652503803481372,4,109.98888388141086
brownr-sistersadie-waltoncjonese-1977-f5293ebf,/scratch/rht9410/jtd_data/brownr-sistersadie-waltoncjonese-1977-f5293ebf.wav,254,254,63,63,0.188,ok,1.0,0.9622971600250828,1.0,1.0,,,,,0.5789679338457713,1.0,0.9628756909078812,1.0,1.0,,,,,0.8467381785478949,4,183.50983398702985
brownr-somethingincommon-waltoncjonese-1977-fa75db3b,/scratch/rht9410/jtd_data/brownr-somethingincommon-waltoncjonese-1977-fa75db3b.wav,250,252,62,63,0.177,ok,0.9936034115138592,0.9056828885931958,1.0,0.9914893617021276,,,,,0.5301149252524819,0.9914529914529916,0.8870382285879862,1.0,0.9830508474576272,,,,,0.7536708981494906,4,195.5523428530585
brownr-stlouisblues-greenbnashl-1994-fd002ffd,/scratch/rht9410/jtd_data/brownr-stlouisblues-greenbnashl-1994-fd002ffd.wav,197,186,49,49,0.24,ok,0.8925619834710745,0.8317607017639105,1.0,0.8716577540106952,,,,,0.4233617685275679,0.9130434782608696,0.856890759240767,1.0,1.0,,,,,0.7713227600165303,4,124.0776883018262
brownr-sttropez-petersononashl-1994-fe100202,/scratch/rht9410/jtd_data/brownr-sttropez-petersononashl-1994-fe100202.wav,253,253,63,70,0.339,ok,0.9896907216494846,0.890942901888077,1.0,0.9958847736625516,,,,,0.5241053458760022,0.8661417322834646,0.7863844684019788,0.0,0.835820895522388,,,,,0.7517362721654611,4,124.5039918747112
brownr-summerwind-harrisghamiltonj-1988-795e7a73,/scratch/rht9410/jtd_data/brownr-summerwind-harrisghamiltonj-1988-795e7a73.wav,125,125,32,32,0.147,ok,1.0,0.977919867703155,1.0,1.0,,,,,0.669012186725496,1.0,0.9821561707164534,1.0,1.0,,,,,1.0,4,144.7568002962949
brownr-thingsaintwhattheyused-harrisghamiltonj-1989-5e0e24a1,/scratch/rht9410/jtd_data/brownr-thingsaintwhattheyused-harrisghamiltonj-1989-5e0e24a1.wav,305,305,76,90,0.392,ok,1.0,0.9623351226756984,1.0,1.0,,,,,0.7092876044567179,0.7672955974842768,0.7308798910070012,1.0,0.7176470588235294,,,,,0.7498924025694836,4,107.2053912879778
brownr-timeaftertime-harrisghamiltonj-1991-b3e6c985,/scratch/rht9410/jtd_data/brownr-timeaftertime-harrisghamiltonj-1991-b3e6c985.wav,250,250,62,62,0.236,ok,1.0,0.9738083746164096,1.0,1.0,,,,,0.5521379577101856,1.0,0.9725570548276,1.0,1.0,,,,,0.8786298560193531,4,220.47890099406507
brownr-yearnin-samplejmannes-1975-39c44c5d,/scratch/rht9410/jtd_data/brownr-yearnin-samplejmannes-1975-39c44c5d.wav,143,143,36,36,0.177,ok,1.0,0.9386916680272676,1.0,1.0,,,,,0.6501868519792369,1.0,0.9479280486540436,1.0,1.0,,,,,0.9384334356581464,4,120.59814321750258
