model,beat_F-measure,beat_CMLt,beat_AMLt,beat_Cemgil,downbeat_F-measure,downbeat_CMLt,downbeat_AMLt,downbeat_Cemgil
Beat This finetuned,0.9750687125540914,0.9514983844735533,0.9618076628240687,0.9288327777810916,0.5998504692262959,0.24282800793901038,0.3282261003180671,0.5734224682971233
Beat This baseline,0.9431993288609289,0.845314816016864,0.8972022341481285,0.88675996824508,0.6189095402630599,0.5429858233593011,0.6284401635842494,0.588049836959587
madmom,0.870213648972501,0.64991294324937,0.92627170764641,0.8562959563534075,0.6497149446299305,0.5474479716255496,0.8440340732185254,0.6400932718088151
