track_id,ft_beat_F-measure,ft_downbeat_F-measure,ft_beat_Cemgil,ft_downbeat_Cemgil,bt_beat_F-measure,bt_downbeat_F-measure,bt_beat_Cemgil,bt_downbeat_Cemgil,mm_beat_F-measure,mm_downbeat_F-measure,mm_beat_Cemgil,mm_downbeat_Cemgil,delta_ft_minus_bt_beat_F-measure,delta_ft_minus_mm_beat_F-measure,delta_ft_minus_bt_downbeat_F-measure,delta_ft_minus_mm_downbeat_F-measure,delta_ft_minus_bt_beat_Cemgil,delta_ft_minus_mm_beat_Cemgil,delta_ft_minus_bt_downbeat_Cemgil,delta_ft_minus_mm_downbeat_Cemgil
barronk-bouncinwithbud-carterrcobhamb-2003-543d8217,0.9832102081934184,0.5970636215334421,0.9407396775799756,0.5680606220252417,0.9818181818181818,0.8478802992518703,0.935832060860846,0.809166636772319,0.6577060931899642,0.6093189964157706,0.638524483240475,0.5975475869321398,0.0013920263752366102,0.3255041150034542,-0.2508166777184282,-0.012255374882328529,0.004907616719129537,0.3022151943395006,-0.24110601474707738,-0.029486964906898172
barronk-outofnowhere-carterrcobhamb-2003-5ef86b93,0.9778393351800554,0.9513513513513514,0.926417537984874,0.9088715337193018,0.9833333333333332,0.9888888888888888,0.9317344462347568,0.9319169622249638,0.9819694868238557,0.6888888888888889,0.9585660636114568,0.6767789125191515,-0.005493998153277779,-0.004130151643800262,-0.03753753753753741,0.2624624624624625,-0.005316908249882735,-0.03214852562658277,-0.023045428505661936,0.2320926212001504
barronk-surreywiththefringeon-drummondrrileyb-1990-e6533db7,0.9981718464351006,0.432,0.9704089972832802,0.4219812415348875,0.9990850869167428,0.0,0.9373450614881051,1.4013510090985534e-06,0.6601466992665037,0.4313725490196078,0.6530006188488923,0.4238466948433634,-0.000913240481642208,0.3380251471685969,0.432,0.0006274509803921857,0.03306393579517508,0.31740837843438796,0.42197984018387835,-0.0018654533084759284
barronk-theonlyone-drummondrrileyb-1996-2d0f261a,0.9895261845386534,0.8685714285714285,0.9609465416485694,0.8446378804140293,0.9620901639344264,0.8954635108481261,0.9263203415249094,0.8649384427317607,0.9895261845386534,0.9083665338645418,0.9778735987826964,0.8974339251981361,0.027436020604227007,0.0,-0.026892082276697593,-0.03979510529311325,0.03462620012366002,-0.01692705713412701,-0.020300562317731363,-0.05279604478410682
barronk-thereisnogreaterlove-williamsbrileyb-1984-90d41f7e,0.8726224783861671,0.4742951907131012,0.7995913574426196,0.4506465457127154,0.8742791234140717,0.4942263279445727,0.7843154831943858,0.4659814811630917,0.8292682926829268,0.6416040100250627,0.7760931985347723,0.6202217823837592,-0.0016566450279045242,0.043354185703240344,-0.019931137231471496,-0.1673088193119615,0.015275874248233734,0.023498158907847233,-0.015334935450376286,-0.16957523667104385
barronk-wellyouneednt-drummondrrileyb-1996-fbe7467b,0.9997148560022812,0.305571510626077,0.9730052018166152,0.2986757702196898,0.9605692262081236,0.5176738882554163,0.895203794058819,0.4988991163779468,0.6653992395437263,0.3373860182370821,0.6619852035783866,0.3356768035895047,0.03914562979415759,0.3343156164585549,-0.21210237762933926,-0.03181450761100507,0.0778014077577962,0.31101999823822857,-0.20022334615825704,-0.03700103336981492
bleyp-blueswaltz-lundgaardjhartb-1985-e7d9851f,0.9798270893371758,0.4840182648401827,0.8929172450973094,0.4357115574856068,1.0,0.6838709677419356,0.9217100353099732,0.6303033222794631,1.0,1.0,0.9908890227348074,0.9940625540217516,-0.02017291066282423,-0.02017291066282423,-0.1998527029017529,-0.5159817351598173,-0.028792790212663788,-0.09797177763749798,-0.19459176479385626,-0.5583509965361448
bleyp-bolivarblues-lundgaardjhartb-1985-aeb64f38,0.9977628635346756,0.4705882352941176,0.9214272432305588,0.4211723972639421,0.904645476772616,0.3636363636363637,0.8091848085824423,0.3282586983172071,1.0,1.0,0.9742900679008076,0.9800048039646196,0.0931173867620596,-0.0022371364653244186,0.10695187165775388,-0.5294117647058825,0.11224243464811645,-0.05286282467024883,0.09291369894673501,-0.5588324067006776
bleyp-syndrome-swallowslap-1963-e13458a9,0.707482993197279,0.2622950819672131,0.616377074414713,0.2310636628248901,0.6191950464396284,0.2309859154929577,0.5041316103876519,0.1903329646138712,0.8039867109634553,0.5486725663716815,0.7501595031039304,0.5053925098543041,0.08828794675765061,-0.09650371776617628,0.031309166474255384,-0.2863774844044684,0.11224546402706115,-0.13378242868921741,0.040730698211018906,-0.27432884702941396
brownr-equinox-harrisghamiltonj-1991-7e20d7f7,1.0,0.7857142857142858,0.9585686107394166,0.7507693068794381,1.0,1.0,0.9684332595556292,0.9674478857340532,1.0,1.0,0.9971816703337112,0.9962706950880418,0.0,0.0,-0.2142857142857142,-0.2142857142857142,-0.009864648816212629,-0.03861305959429462,-0.21667857885461506,-0.24550138820860368
