track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature
jarrettk-thewayyoulooktonight-peacockgdejohnettej-1985-ee763978,/scratch/rht9410/jtd_data/jarrettk-thewayyoulooktonight-peacockgdejohnettej-1985-ee763978.wav,835,832,209,340,0.413,ok,0.966153846153846,0.9109184294675244,1.0,0.945945945945946,0.6277641277641277,0.9336609336609336,0.6277641277641277,0.9336609336609336,0.4935560336990995,0.5440900562851781,0.5197826244718123,0.0,0.4711246200607902,0.0577507598784194,0.1854103343465045,0.0577507598784194,0.2063882063882063,0.3789409989471501,4
jarrettk-timeaftertime-peacockgdejohnettej-1994-45b4ecf0,/scratch/rht9410/jtd_data/jarrettk-timeaftertime-peacockgdejohnettej-1994-45b4ecf0.wav,878,877,220,298,0.675,ok,0.953206239168111,0.8973856975555027,1.0,0.9572748267898384,0.6374133949191686,0.9526558891454964,0.6374133949191686,0.9526558891454964,0.4842653235199233,0.15625,0.1462017231082974,0.0,0.1423728813559322,0.0135593220338983,0.0271186440677966,0.0305084745762711,0.0969976905311778,0.3823071962476485,4
jarrettk-tonight-peacockgdejohnettej-2009-d6d025cf,/scratch/rht9410/jtd_data/jarrettk-tonight-peacockgdejohnettej-2009-d6d025cf.wav,892,842,223,231,4.156,ok,0.9687315634218288,0.925401782261124,1.0,0.9404352806414662,0.4169530355097365,0.8820160366552119,0.4169530355097365,0.8820160366552119,0.5059418589992671,0.918918918918919,0.8883623249715051,1.0,0.9070796460176992,0.3893805309734513,0.8716814159292036,0.3893805309734513,0.8716814159292036,0.7512410187321475,4
jarrettk-udance-peacockgdejohnettej-1989-cba1f676,/scratch/rht9410/jtd_data/jarrettk-udance-peacockgdejohnettej-1989-cba1f676.wav,121,61,30,19,0.106,ok,0.6708860759493671,0.6529339473912806,0.0,0.5047619047619047,0.0,0.0,1.0,1.0,0.5563343015988182,0.7906976744186047,0.7666292535245162,0.0,0.6538461538461539,0.1923076923076923,0.2692307692307692,0.4705882352941176,0.5882352941176471,0.7937881076336247,4
jarrettk-whatisthisthingcalled-peacockgdejohnettej-1999-72ad4994,/scratch/rht9410/jtd_data/jarrettk-whatisthisthingcalled-peacockgdejohnettej-1999-72ad4994.wav,1382,1271,345,441,1.27,ok,0.9544235924932976,0.8899249709133349,0.0,0.9147685525349007,0.0609845701689933,0.7964731814842028,0.0609845701689933,0.7964731814842028,0.4134926931736646,0.7628865979381444,0.7320738072553306,0.0,0.6788990825688074,0.0963302752293578,0.4724770642201835,0.0963302752293578,0.4724770642201835,0.5661790652168917,4
jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,/scratch/rht9410/jtd_data/jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f.wav,385,385,96,116,0.347,ok,1.0,0.9350683396740984,1.0,1.0,1.0,1.0,1.0,1.0,0.5673779733694738,0.0492610837438423,0.0480486003734516,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.5505855917432267,4
jarrettk-woodynyou-peacockgdejohnettej-1990-9c985c92,/scratch/rht9410/jtd_data/jarrettk-woodynyou-peacockgdejohnettej-1990-9c985c92.wav,895,792,223,342,0.286,ok,0.9079829372333944,0.7759749832139838,0.0,0.8096330275229358,0.0424311926605504,0.588302752293578,0.0424311926605504,0.588302752293578,0.2633937351735551,0.2758620689655172,0.2393998706746446,0.0,0.2672672672672673,0.021021021021021,0.075075075075075,0.057057057057057,0.1351351351351351,0.1553160638956644,4
jarrettk-wrapyourtroublesindreams-peacockgdejohnettej-1999-fc4d6c7d,/scratch/rht9410/jtd_data/jarrettk-wrapyourtroublesindreams-peacockgdejohnettej-1999-fc4d6c7d.wav,358,358,89,124,0.216,ok,1.0,0.949520066790992,1.0,1.0,1.0,1.0,1.0,1.0,0.5414813181295131,0.029126213592233,0.0288275071308382,0.0,0.025,0.0,0.0,0.025,0.0333333333333333,0.3996946180997252,4
jarrettk-youtookadvantageofme-peacockgdejohnettej-2001-05f97c66,/scratch/rht9410/jtd_data/jarrettk-youtookadvantageofme-peacockgdejohnettej-2001-05f97c66.wav,766,769,191,197,0.476,ok,0.9674418604651164,0.905161679039178,1.0,0.9655172413793104,0.4244031830238727,0.9628647214854112,0.4244031830238727,0.9628647214854112,0.4633359298107754,0.0367454068241469,0.0367175687037107,0.0,0.0621761658031088,0.0466321243523316,0.0466321243523316,0.533678756476684,0.8290155440414507,0.6180940129202659,4
jarrettk-youtookadvantageofme-peacockgdejohnettej-2001-472cf272,/scratch/rht9410/jtd_data/jarrettk-youtookadvantageofme-peacockgdejohnettej-2001-472cf272.wav,758,759,189,200,0.417,ok,0.9993265993265992,0.952028711149124,1.0,0.9986541049798116,0.9986541049798116,0.9986541049798116,0.9986541049798116,0.9986541049798116,0.5960970050233648,0.0472440944881889,0.0448799288530404,0.0,0.0459183673469387,0.0,0.0,0.8928571428571429,0.8979591836734694,0.7682329878302768,4
jonesh-alansallies-duviviergdawsona-1978-5bcff2d1,/scratch/rht9410/jtd_data/jonesh-alansallies-duviviergdawsona-1978-5bcff2d1.wav,256,257,64,70,0.154,ok,1.0,0.9681726345984012,1.0,1.0,1.0,1.0,1.0,1.0,0.5457116871708944,0.064516129032258,0.0557784019822803,0.0,0.0615384615384615,0.0,0.0,0.0085470085470085,0.0085470085470085,0.6912313767714551,4
jonesh-arrival-hollanddcopelandk-1989-e6947cf9,/scratch/rht9410/jtd_data/jonesh-arrival-hollanddcopelandk-1989-e6947cf9.wav,380,302,95,95,0.201,ok,0.8899082568807339,0.8688164967748807,0.0,0.8016528925619835,0.2314049586776859,0.6005509641873278,0.2314049586776859,0.6005509641873278,0.5615723383145607,1.0,0.9720997487870872,1.0,1.0,1.0,1.0,1.0,1.0,0.8990055319866262,4
jonesh-bloomdido-duviviergrileyb-1977-bc27c25e,/scratch/rht9410/jtd_data/jonesh-bloomdido-duviviergrileyb-1977-bc27c25e.wav,331,332,83,83,0.208,ok,0.9984152139461172,0.9692013619399952,1.0,0.9968354430379748,0.9968354430379748,0.9968354430379748,0.9968354430379748,0.9968354430379748,0.6221032865321767,1.0,0.9737616311516568,1.0,1.0,1.0,1.0,1.0,1.0,0.8882510041883879,4
jonesh-bluemonk-mrazgwashingtonk-1991-c20e31ce,/scratch/rht9410/jtd_data/jonesh-bluemonk-mrazgwashingtonk-1991-c20e31ce.wav,146,146,36,49,0.141,ok,1.0,0.9377146097431248,1.0,1.0,1.0,1.0,1.0,1.0,0.6508941700499603,0.0,4.085042673834098e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.6285025893993987,4
jonesh-cleopatrasdream-wongdpearsonl-2010-8b30faab,/scratch/rht9410/jtd_data/jonesh-cleopatrasdream-wongdpearsonl-2010-8b30faab.wav,253,198,63,70,0.108,ok,0.8626506024096385,0.8415452300711838,1.0,0.7617021276595745,0.3914893617021276,0.5276595744680851,0.3914893617021276,0.5276595744680851,0.501606304290261,0.9430894308943092,0.9149516089438516,0.0,0.8923076923076924,0.7230769230769231,0.8,0.7230769230769231,0.8,0.7878648718917713,4
jonesh-cominhomebaby-hollanddcopelandk-1989-44c9d853,/scratch/rht9410/jtd_data/jonesh-cominhomebaby-hollanddcopelandk-1989-44c9d853.wav,287,226,72,72,0.228,ok,0.8752556237218814,0.8454098019372817,0.0,0.7781818181818182,0.1745454545454545,0.5563636363636364,0.1745454545454545,0.5563636363636364,0.5489504897724226,0.0,4.075571568665339e-85,0.0,0.0,0.0,0.0,0.9855072463768116,0.9855072463768116,0.813375869787683,4
jonesh-confirmation-duviviergrileyb-1977-68b64fa3,/scratch/rht9410/jtd_data/jonesh-confirmation-duviviergrileyb-1977-68b64fa3.wav,508,508,127,129,0.269,ok,1.0,0.958543953896419,1.0,1.0,1.0,1.0,1.0,1.0,0.5611513166094688,0.9919354838709676,0.9584657055117766,1.0,0.984,0.856,0.968,0.856,0.968,0.8492829906957982,4
jonesh-confirmation-mcbrideccobbj-2006-54f05882,/scratch/rht9410/jtd_data/jonesh-confirmation-mcbrideccobbj-2006-54f05882.wav,254,254,64,64,0.154,ok,1.0,0.9604106899661052,1.0,1.0,1.0,1.0,1.0,1.0,0.6069439643505476,1.0,0.9675575776793678,1.0,1.0,1.0,1.0,1.0,1.0,0.8940315550655674,4
jonesh-dancingontheceiling-brownrsmithj-1989-0d0e956e,/scratch/rht9410/jtd_data/jonesh-dancingontheceiling-brownrsmithj-1989-0d0e956e.wav,379,379,95,95,0.193,ok,1.0,0.9695622527018872,1.0,1.0,1.0,1.0,1.0,1.0,0.6158382487297355,1.0,0.9721315989460972,1.0,1.0,1.0,1.0,1.0,1.0,0.898196780214171,4
jonesh-datdere-duviviergjacksono-1977-54901a6d,/scratch/rht9410/jtd_data/jonesh-datdere-duviviergjacksono-1977-54901a6d.wav,254,254,64,74,0.196,ok,0.9979550102249488,0.9115130985997306,1.0,0.9959183673469388,0.9959183673469388,0.9959183673469388,0.9959183673469388,0.9959183673469388,0.6453117038097106,0.6212121212121212,0.5757507559572319,0.0,0.5774647887323944,0.1690140845070422,0.4225352112676056,0.1690140845070422,0.4225352112676056,0.6810472974354765,4
jonesh-flymetothemoon-wongdpearsonl-2010-ce7f21e1,/scratch/rht9410/jtd_data/jonesh-flymetothemoon-wongdpearsonl-2010-ce7f21e1.wav,95,95,31,31,0.126,ok,1.0,0.940835083096278,1.0,1.0,1.0,1.0,1.0,1.0,0.6108913730975014,1.0,0.9439248381615168,1.0,1.0,1.0,1.0,1.0,1.0,0.8485729818842953,3
jonesh-hanksblues-duviviergdawsona-1978-47611deb,/scratch/rht9410/jtd_data/jonesh-hanksblues-duviviergdawsona-1978-47611deb.wav,238,238,60,69,0.192,ok,1.0,0.9625456392343342,1.0,1.0,1.0,1.0,1.0,1.0,0.6157443619909708,0.0,7.0241052214355445e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.7304201185823997,4
jonesh-hankyouthank-hintonmrosengardenb-1977-5e637f3b,/scratch/rht9410/jtd_data/jonesh-hankyouthank-hintonmrosengardenb-1977-5e637f3b.wav,336,336,84,86,0.169,ok,1.0,0.9701100656383572,1.0,1.0,1.0,1.0,1.0,1.0,0.5563759042980788,1.0,0.967179260096669,1.0,1.0,1.0,1.0,1.0,1.0,0.8758886023069355,4
jonesh-illrememberapril-hintonmrosengardenb-1977-c11a6c68,/scratch/rht9410/jtd_data/jonesh-illrememberapril-hintonmrosengardenb-1977-c11a6c68.wav,576,578,144,144,0.202,ok,0.9981916817359856,0.9285140560046302,1.0,0.9927797833935018,0.1046931407942238,0.9115523465703972,0.1046931407942238,0.9115523465703972,0.4751811079968517,0.0,7.380123739661732e-22,0.0,0.0,0.0,0.0,0.9927536231884058,0.9927536231884058,0.7611208024239925,4
jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,/scratch/rht9410/jtd_data/jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4.wav,382,382,95,100,0.175,ok,0.9972222222222222,0.9221899608628318,1.0,0.9972222222222222,0.2055555555555555,0.9361111111111112,0.2055555555555555,0.9361111111111112,0.4825141729312884,0.972972972972973,0.9207307358881208,1.0,0.9578947368421052,0.631578947368421,0.9052631578947368,0.631578947368421,0.9052631578947368,0.7407811272089193,4
jonesh-interface-mrazgwashingtonk-1991-5076deb8,/scratch/rht9410/jtd_data/jonesh-interface-mrazgwashingtonk-1991-5076deb8.wav,277,278,70,70,0.179,ok,0.998109640831758,0.9423528453008646,1.0,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.535983611903065,0.0,2.943716292332659e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.7964270244483163,4
jonesh-intimidation-hollanddcopelandk-1989-c8e7a552,/scratch/rht9410/jtd_data/jonesh-intimidation-hollanddcopelandk-1989-c8e7a552.wav,249,125,62,62,0.153,ok,0.6685714285714286,0.6471051642479076,0.0,0.5021459227467812,0.0,0.0,1.0,1.0,0.5368012752638437,1.0,0.9618847978942708,1.0,1.0,1.0,1.0,1.0,1.0,0.881380575041568,4
jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,/scratch/rht9410/jtd_data/jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b.wav,128,76,32,31,0.122,ok,0.6270270270270271,0.5554334431973015,0.0,0.4915254237288136,0.0169491525423728,0.0677966101694915,0.3432835820895522,0.7611940298507462,0.5074597963503907,0.9152542372881356,0.8206719540902201,1.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.7442910355151728,4
jonesh-lovewalkedin-duviviergjacksono-1977-e8cf141c,/scratch/rht9410/jtd_data/jonesh-lovewalkedin-duviviergjacksono-1977-e8cf141c.wav,129,92,33,33,0.075,ok,0.8421052631578948,0.8171059498211989,0.0,0.7272727272727273,0.3272727272727272,0.4545454545454545,0.3272727272727272,0.4545454545454545,0.4709943583234139,1.0,0.9742246257667836,1.0,1.0,1.0,1.0,1.0,1.0,0.8899448515517777,4
