track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-2f3f1a5e,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-2f3f1a5e.wav,243,243,61,91,0.139,ok,1.0,0.941100089681384,1.0,1.0,0.5462555066079295,0.9955947136563876,0.5462555066079295,0.9955947136563876,0.5589074555598854,0.8142857142857143,0.7387068884193899,0.0,0.6867469879518072,0.25301204819277107,0.40963855421686746,0.25301204819277107,0.40963855421686746,0.5900632126455726
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-3325d107,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-3325d107.wav,376,378,94,160,0.32,ok,0.9986168741355463,0.9518598223791234,1.0,0.9972375690607734,0.8729281767955801,0.994475138121547,0.8729281767955801,0.994475138121547,0.5247437261058628,0.7385892116182573,0.7041191449663644,0.0,0.5933333333333334,0.13333333333333333,0.30666666666666664,0.13333333333333333,0.30666666666666664,0.561900312829871
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-45a56209,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-45a56209.wav,375,375,94,260,0.223,ok,0.9972222222222222,0.9362196019927336,1.0,0.9972222222222222,0.8444444444444444,0.9972222222222222,0.8444444444444444,0.9972222222222222,0.4842446209795562,0.5119047619047619,0.480429307642729,0.0,0.34959349593495936,0.052845528455284556,0.06504065040650407,0.052845528455284556,0.10975609756097561,0.46151444288254584
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-bfd54fcf,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-bfd54fcf.wav,251,252,63,175,0.172,ok,0.9978768577494692,0.889798077035781,1.0,0.9915254237288136,0.9872881355932204,0.9915254237288136,0.9872881355932204,0.9915254237288136,0.4370481784404428,0.5135135135135135,0.44805007477742537,0.0,0.3496932515337423,0.006134969325153374,0.018404907975460124,0.012269938650306749,0.147239263803681,0.3750332479872264
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-c67ffd5a,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-c67ffd5a.wav,386,386,96,209,0.218,ok,1.0,0.9608729005390296,1.0,1.0,1.0,1.0,1.0,1.0,0.5903666785529488,0.41258741258741255,0.3991678510866817,0.0,0.30927835051546393,0.020618556701030927,0.04639175257731959,0.020618556701030927,0.0979381443298969,0.46451178686901706
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,/home/rht9410/jtd_data/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914.wav,248,249,62,93,0.129,ok,0.9978401727861772,0.9592313615664224,1.0,0.9956896551724138,0.6206896551724138,0.9913793103448276,0.6206896551724138,0.9913793103448276,0.5917803910646491,0.5379310344827586,0.52282066340286,0.0,0.4431818181818182,0.17045454545454544,0.2840909090909091,0.17045454545454544,0.2840909090909091,0.5504483071319979
evansb-loveisheretostay-israelscbunkerl-1961-08fcb597,/home/rht9410/jtd_data/evansb-loveisheretostay-israelscbunkerl-1961-08fcb597.wav,257,257,64,92,0.149,ok,1.0,0.9578878358119082,1.0,1.0,1.0,1.0,1.0,1.0,0.6343852944277747,0.7916666666666667,0.761827228589547,0.0,0.6785714285714286,0.39285714285714285,0.44047619047619047,0.39285714285714285,0.44047619047619047,0.648156897240955
evansb-loveisheretostay-israelscbunkerl-1966-a67e8975,/home/rht9410/jtd_data/evansb-loveisheretostay-israelscbunkerl-1966-a67e8975.wav,118,119,29,45,0.132,ok,1.0,0.8874826022155138,1.0,1.0,1.0,1.0,1.0,1.0,0.5639526763245628,0.7164179104477613,0.6442529893060688,0.0,0.5853658536585366,0.17073170731707318,0.1951219512195122,0.49019607843137253,0.6274509803921569,0.64345946279415
evansb-makesomeonehappy-israelscbunkerl-1966-68b2479f,/home/rht9410/jtd_data/evansb-makesomeonehappy-israelscbunkerl-1966-68b2479f.wav,303,304,76,200,0.239,ok,0.9982425307557118,0.962551538754081,1.0,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.5158748598107601,0.44106463878326996,0.4264291921003634,0.0,0.3020833333333333,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.45743447044126045
evansb-makesomeonehappy-israelscbunkerl-1966-7f04a724,/home/rht9410/jtd_data/evansb-makesomeonehappy-israelscbunkerl-1966-7f04a724.wav,309,312,78,86,0.177,ok,1.0,0.9514573621035229,1.0,1.0,1.0,1.0,1.0,1.0,0.5626298512841594,0.9736842105263158,0.9266454920096497,1.0,0.9487179487179487,0.8205128205128205,0.8974358974358975,0.8205128205128205,0.8974358974358975,0.7642951547672194
